"Run"	"Sample Characteristic[infect]"	"Sample Characteristic Ontology Term[infect]"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[time]"	"Sample Characteristic Ontology Term[time]"	"Factor Value[infect]"	"Factor Value Ontology Term[infect]"	"Factor Value[organism part]"	"Factor Value Ontology Term[organism part]"	"Factor Value[time]"	"Factor Value Ontology Term[time]"
"ERR597429"	"H5N1"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"		"H5N1"		"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"	
"ERR597430"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"	
"ERR597431"	"H5N2"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"		"H5N2"		"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"	
"ERR597432"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"	
"ERR597433"	"H5N2"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"		"H5N2"		"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"	
"ERR597434"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"	
"ERR597435"	"H5N2"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"		"H5N2"		"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"	
"ERR597436"	"H5N1"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"		"H5N1"		"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"	
"ERR597437"	"H5N1"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"		"H5N1"		"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"	
"ERR597438"	"H5N1"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"		"H5N1"		"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"	
"ERR597439"	"H5N1"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"		"H5N1"		"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"	
"ERR597440"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"	
"ERR597441"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"	
